City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ostrovnoy,RU,68.0531,39.5131,46.04,93,100,12.3,overcast clouds
79,Butaritari,KI,3.0707,172.7902,82.36,72,42,17.25,scattered clouds
80,Busselton,AU,-33.65,115.3333,57.85,65,70,18.07,broken clouds
81,Doume,CM,4.2333,13.45,66.51,99,100,1.66,light rain
82,Coihaique,CL,-45.5752,-72.0662,46.35,66,0,2.3,clear sky
83,Konstantinovka,RU,49.6167,127.9833,43.83,30,52,10.6,broken clouds
84,Sapa,PH,5.1544,120.3241,84.78,65,94,1.43,overcast clouds
85,Kautokeino,NO,69.0125,23.0412,38.32,95,100,19.46,overcast clouds
86,Tasiilaq,GL,65.6145,-37.6368,35.76,64,2,7.31,clear sky
87,Port Augusta,AU,-32.5,137.7667,79.56,32,12,12.64,few clouds
88,Katsuura,JP,35.1333,140.3,70.12,86,100,21.94,overcast clouds
89,Samarai,PG,-10.6167,150.6667,80.02,85,100,12.64,light rain
90,Airai,TL,-8.9266,125.4092,73.02,68,87,2.28,overcast clouds
91,Kavieng,PG,-2.5744,150.7967,84.87,64,62,15.95,broken clouds
92,Pasighat,IN,28.0667,95.3333,76.53,95,96,1.63,heavy intensity rain
93,Nanortalik,GL,60.1432,-45.2371,38.01,95,100,24.61,light rain
94,Ouricuri,BR,-7.8825,-40.0817,74.82,42,21,5.61,few clouds
95,Blythe,US,33.6103,-114.5964,90.05,22,0,0.0,clear sky
96,Port Macquarie,AU,-31.4333,152.9167,64.89,57,100,10.25,moderate rain
97,Margate,GB,51.3813,1.3862,62.91,78,100,7.0,overcast clouds
98,Sao Filipe,CV,14.8961,-24.4956,78.04,78,84,0.83,broken clouds
99,Petropavlovskoye,RU,52.0712,84.107,43.79,48,89,6.08,overcast clouds
100,Luorong,CN,24.4058,109.6086,89.4,48,19,6.13,few clouds
101,Cockburn Town,TC,21.4612,-71.1419,82.09,78,99,6.13,overcast clouds
102,Lima,PE,-12.0432,-77.0282,59.9,84,100,11.5,overcast clouds
103,Hobart,AU,-42.8794,147.3294,55.26,63,75,11.5,broken clouds
104,Yeppoon,AU,-23.1333,150.7333,76.78,63,98,13.35,overcast clouds
105,Lapas,GR,38.1,21.4167,68.2,52,0,5.75,clear sky
106,Tuatapere,NZ,-46.1333,167.6833,36.12,75,100,20.09,overcast clouds
107,Svetlogorsk,BY,52.6333,29.7333,42.71,92,81,11.63,broken clouds
108,Okhotsk,RU,59.3833,143.3,34.93,52,100,17.49,overcast clouds
109,Rudkobing,DK,54.9364,10.7102,57.31,83,100,20.2,overcast clouds
110,Harper,LR,4.375,-7.7169,76.42,90,100,5.53,light rain
111,Hithadhoo,MV,-0.6,73.0833,82.49,70,96,17.56,overcast clouds
112,Muscat,OM,23.6139,58.5922,82.42,48,26,0.72,scattered clouds
113,Merritt Island,US,28.5392,-80.672,73.99,75,0,8.05,clear sky
114,Osa,RU,57.2829,55.4567,45.88,44,100,8.52,overcast clouds
115,Kalispell,US,48.1958,-114.3129,57.69,78,0,0.0,clear sky
116,Dikson,RU,73.5069,80.5464,32.02,77,100,18.68,overcast clouds
117,Barrow,US,71.2906,-156.7887,32.02,93,100,10.36,overcast clouds
118,Sobolevo,RU,54.4299,31.8996,41.52,95,93,9.44,overcast clouds
119,Winnemucca,US,40.973,-117.7357,57.25,28,0,0.0,clear sky
120,Saint-Philippe,RE,-21.3585,55.7679,71.19,75,41,10.76,scattered clouds
121,Qaanaaq,GL,77.484,-69.3632,16.43,79,100,5.5,overcast clouds
122,Sechura,PE,-5.5569,-80.8222,61.54,83,83,12.03,broken clouds
123,Aswan,EG,24.0934,32.907,81.7,28,0,6.91,clear sky
124,Mahenge,TZ,-8.6833,36.7167,59.2,87,60,1.12,broken clouds
125,Sakakah,SA,29.9697,40.2064,74.77,17,11,5.1,few clouds
126,Simnas,LT,54.4,23.65,47.97,89,100,9.06,overcast clouds
127,Chicama,PE,-7.8447,-79.1469,57.74,83,38,5.79,scattered clouds
128,Ongandjera,NA,-17.8833,15.0667,65.12,30,0,8.95,clear sky
129,Kloulklubed,PW,7.0419,134.2556,82.9,80,100,10.8,overcast clouds
130,Karnal,IN,29.6833,76.9833,81.77,75,0,8.99,clear sky
131,Guarda,PT,40.5373,-7.2658,53.91,46,0,1.81,clear sky
132,Bredasdorp,ZA,-34.5322,20.0403,47.05,86,59,4.9,broken clouds
133,Sovetskiy,RU,61.3614,63.5842,47.73,88,88,2.48,overcast clouds
134,Mataura,NZ,-46.1927,168.8643,39.47,95,99,12.12,light rain
135,Farsund,NO,58.0948,6.8047,56.95,100,100,6.15,light rain
136,Miraflores,MX,19.2167,-98.8083,61.03,90,79,0.36,broken clouds
137,New Norfolk,AU,-42.7826,147.0587,54.91,45,98,9.01,overcast clouds
138,Longhua,CN,23.6137,114.1919,91.9,44,52,6.69,broken clouds
139,Isangel,VU,-19.55,169.2667,76.51,62,26,12.57,scattered clouds
140,Khatanga,RU,71.9667,102.5,29.62,98,100,5.41,light snow
141,Honningsvag,NO,70.9821,25.9704,44.35,70,4,21.85,clear sky
142,Barra Patuca,HN,15.8,-84.2833,76.53,88,100,5.48,overcast clouds
143,Mahebourg,MU,-20.4081,57.7,72.25,73,40,6.91,scattered clouds
144,Geraldton,AU,-28.7667,114.6,66.61,59,100,14.97,overcast clouds
145,Tibagi,BR,-24.5094,-50.4136,58.06,97,3,2.98,clear sky
146,Camargo,MX,27.6667,-105.1667,66.94,53,1,8.75,clear sky
147,Sitka,US,57.0531,-135.33,62.49,48,75,16.11,broken clouds
148,Khorramabad,IR,33.4878,48.3558,55.02,33,0,2.3,clear sky
149,Qazvin,IR,36.2797,50.0049,51.42,46,0,2.3,clear sky
150,Nishihara,JP,26.1842,127.7558,87.46,76,40,13.8,scattered clouds
151,Plettenberg Bay,ZA,-34.0527,23.3716,52.84,82,1,4.18,clear sky
152,Aasiaat,GL,68.7098,-52.8699,21.02,83,18,6.15,few clouds
153,Acu,BR,-5.5767,-36.9086,75.13,66,5,9.82,clear sky
154,Tongchuan,CN,35.0806,109.0897,46.58,94,100,6.17,overcast clouds
155,Codrington,AU,-38.2667,141.9667,53.37,96,100,16.15,light rain
156,Uvinza,TZ,-5.1036,30.3911,66.97,53,99,5.08,overcast clouds
157,Palmer,US,42.1584,-72.3287,54.34,85,100,12.66,light rain
158,Puerto Ayora,EC,-0.7393,-90.3518,66.54,93,27,8.01,scattered clouds
159,Nosy Varika,MG,-20.5833,48.5333,69.33,78,23,6.26,few clouds
160,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,90,70,4.97,broken clouds
161,Lake City,US,30.1897,-82.6393,57.85,94,0,0.0,clear sky
162,Bambous Virieux,MU,-20.3428,57.7575,72.21,73,40,6.91,scattered clouds
163,Yulara,AU,-25.2406,130.9889,81.79,24,0,8.93,clear sky
164,Mecca,SA,21.4267,39.8261,84.24,24,1,0.43,clear sky
165,Lethem,GY,3.3803,-59.7968,78.24,74,90,4.47,overcast clouds
166,Pingzhuang,CN,42.0372,119.2889,51.03,14,0,9.6,clear sky
167,Reconquista,AR,-29.15,-59.65,58.35,61,0,10.11,clear sky
168,Hilo,US,19.7297,-155.09,81.28,80,40,8.05,scattered clouds
169,Iralaya,HN,15.0,-83.2333,76.73,90,100,6.24,overcast clouds
170,Ulaanbaatar,MN,47.9077,106.8832,32.13,40,0,2.24,clear sky
171,Esperance,AU,-33.8667,121.9,64.51,67,68,17.63,broken clouds
172,Pirovskoye,RU,57.6267,92.2658,38.32,65,100,9.53,overcast clouds
173,Kahului,US,20.8947,-156.47,80.62,84,40,12.66,moderate rain
174,Saint-Augustin,CA,51.226,-58.6502,51.44,80,100,8.28,overcast clouds
175,Nalut,LY,30.3333,10.85,67.69,55,22,10.83,few clouds
176,Xai-Xai,MZ,-25.0519,33.6442,71.89,83,92,6.13,overcast clouds
177,Batamshinskiy,KZ,50.5594,58.2747,41.72,32,79,10.29,broken clouds
178,Mamburao,PH,13.25,120.6667,87.49,67,100,5.99,overcast clouds
179,Hobyo,SO,5.3505,48.5268,78.15,80,84,14.43,broken clouds
180,Hokitika,NZ,-42.7167,170.9667,47.57,58,75,28.74,broken clouds
181,Pacific Grove,US,36.6177,-121.9166,64.42,91,100,7.0,mist
182,Pangody,RU,65.85,74.4859,35.92,84,100,14.65,overcast clouds
183,Najran,SA,17.4924,44.1277,74.05,24,56,3.0,broken clouds
